year,count,Artificial Intelligence,artificial intelligence,Artificial intelligence,ARTIFICIAL INTELLIGENCE,artificial Intelligence,ARTIFICIAL intelligence,ARTIFICIAL Intelligence,artificial INTELLIGENCE,Artificial INTELLIGENCE,ARtificial Intelligence
1982,0.000002020627138403508,9.01031762623461e-7,8.917600041513652e-7,1.3148958544206835e-7,8.847112695775649e-8,7.001440316400931e-9,6.182760636797014e-10,1.8166715631817708e-10,3.180579688510932e-11,4.146989557307634e-11,0
1983,0.0000027713763765119257,0.0000012260539392627834,0.0000012239423426763096,1.8267590888854103e-7,1.2770953219387594e-7,9.89117667771211e-9,7.325826834048144e-10,1.8906836096732603e-10,5.1542174694940714e-11,8.094265119273914e-11,4.934094244291032e-11
1984,0.0000036671521529529907,0.0000015898137235126342,0.0000016234616055044172,2.6457443311755926e-7,1.7277909876156626e-7,1.5311660028771713e-8,7.363720022635078e-10,1.9487972624521176e-10,1.205303454265838e-10,8.094265119273914e-11,7.890730291393311e-11
1985,0.000004565706294868549,0.0000020241599031578517,0.0000019915826442229444,3.243313898337874e-7,2.0507298472693947e-7,1.9051049271467947e-8,7.378886113240668e-10,2.0825295099502483e-10,3.925435254625853e-10,8.094265119273914e-11,8.869591658355879e-11
1986,0.000005365275921818957,0.000002415087192275678,0.000002303353790011897,3.871883677675214e-7,2.3650368348171468e-7,2.1599977984010365e-8,5.934047975220125e-10,2.0665112260287443e-10,5.370764444290188e-10,1.0744648920590905e-10,9.833144437587648e-11
1987,0.0000059251320367527395,0.0000027622067591437373,0.000002456541460560402,4.3513613832146805e-7,2.4795749595796226e-7,2.1876896560968363e-8,4.768277522826381e-10,2.047268049532036e-10,5.269158762088999e-10,1.0648433038107364e-10,9.833144437587648e-11
1988,0.000006172985812268745,0.0000029491857731045455,0.0000024900224161683583,4.7464106955885654e-7,2.360698886150203e-7,2.1808829764324854e-8,3.9814126162607264e-10,1.8306859222994022e-10,5.249940412954679e-10,1.0264066055420961e-10,4.899050193296617e-11
1989,0.000006149754702904769,0.000003067193256356404,0.0000023884776510385565,4.621800883342075e-7,2.1209997385085445e-7,1.856884690454308e-8,4.1224080538082577e-10,1.7071919850009109e-10,4.837017744674377e-10,1.4880050039356442e-10,1.9424141461943377e-11
1990,0.000005893752880489767,0.000003019022915395908,0.000002224629452030058,4.4132589209766594e-7,1.915496824267393e-7,1.6344703013260188e-8,3.7731369417759453e-10,1.1899549540173026e-10,1.9890510141729046e-10,1.665239716952538e-10,1.8497263443162382e-11
1991,0.000005458383434702592,0.000002862455721697188,0.000002012152276620327,4.0807734080772207e-7,1.6143579273375508e-7,1.363061628012474e-8,3.156701428030928e-10,1.0859389082407134e-10,8.098053685956508e-11,1.1758025733610288e-10,8.861735650844693e-12
